Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang,Standardized_Complaint
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Pandare,2024-04-05,413103,mr,new road required
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Malegaon,2024-10-22,413115,mr,water tanker not arrived
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2025-04-02,413304,en,road potholes
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2024-10-05,413102,mr,drainage problem
Garbage is not collected regularly in Daund.,Sanitation,Negative,Medium,Someshwar,2024-12-07,412306,en,garbage not collected
Electric transformer is not working in Morgaon.,Electricity,Negative,High,Nimbut,2025-07-29,413110,en,transformer not working
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Katphal,2024-01-23,413111,mr,drinking water problem
The road from Baramati to nearby town is full of potholes.,Road,Negative,Low,Baramati,2025-05-11,413102,en,road potholes
Garbage is not collected regularly in Daund.,Sanitation,Negative,Medium,Katphal,2024-05-30,413111,en,garbage not collected
Electric transformer is not working in Baramati.,Electricity,Negative,High,Malegaon,2025-08-30,413115,en,transformer not working
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Nimbut,2024-07-22,413110,en,garbage not collected
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Supa,2024-04-29,413109,mr,new road required
पाण्याचा टँकर आला नाही 6 दिवसांपासून.,Water,Negative,High,Katphal,2024-01-27,413111,mr,water tanker not arrived
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Morgaon,2024-08-06,413304,mr,new road required
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2025-04-26,413304,en,garbage not collected
Medicines are not available at PHC.,Health,Negative,Medium,Malegaon,2024-05-30,413115,en,medicines not available
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2025-03-12,413304,mr,teachers not available
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Pandare,2025-02-09,413103,mr,drainage problem
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Nimbut,2024-07-30,413110,mr,other_issue
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-07-31,413115,mr,drainage problem
Streetlights are not working at the chowk.,Others,Negative,Low,Supa,2024-07-20,413109,en,streetlights not working
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Baramati,2025-02-23,413102,en,road potholes
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2025-06-25,413103,en,handpump broken
Emergency ambulance did not arrive on time.,Health,Negative,High,Supa,2025-05-02,413109,en,ambulance not arrived
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2025-06-20,412306,en,road potholes
No water supply in the village since 2 days.,Water,Negative,High,Katphal,2024-12-02,413111,en,no water supply
Playground is not maintained properly.,Others,Negative,Low,Katphal,2024-06-15,413111,en,playground not maintained
Library in village remains closed.,Others,Negative,Low,Pandare,2024-05-09,413103,en,other_issue
Library in village remains closed.,Others,Negative,Low,Baramati,2025-09-08,413102,en,other_issue
Drinking water tank is empty.,Water,Negative,High,Morgaon,2025-06-13,413304,en,water tank empty
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Katphal,2025-07-14,413111,mr,other_issue
The road from Pandharpur to nearby town is full of potholes.,Road,Negative,Low,Pandare,2024-02-12,413103,en,road potholes
No doctor available at PHC.,Health,Negative,High,Someshwar,2025-06-18,412306,en,doctor not available
Electric transformer is not working in Morgaon.,Electricity,Negative,High,Pandare,2024-01-19,413103,en,transformer not working
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Pandare,2024-10-26,413103,en,garbage not collected
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Supa,2025-03-06,413109,en,drainage problem
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Nimbut,2024-03-02,413110,en,garbage not collected
Village road is damaged due to rain.,Road,Negative,Low,Supa,2025-08-19,413109,en,road potholes
No water supply in the village since 4 days.,Water,Negative,High,Someshwar,2024-06-01,412306,en,no water supply
Garbage is not collected regularly in Loni.,Sanitation,Negative,Medium,Pandare,2024-04-24,413103,en,garbage not collected
Frequent power cuts in the evening.,Electricity,Negative,High,Supa,2024-02-22,413109,en,frequent power cuts
No doctor available at PHC.,Health,Negative,Medium,Morgaon,2024-01-12,413304,en,doctor not available
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2024-02-04,413102,mr,other_issue
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Supa,2024-10-13,413109,mr,health camp needed
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Pandare,2024-08-25,413103,en,ambulance not arrived
Electric transformer is not working in Daund.,Electricity,Negative,High,Malegaon,2024-01-13,413115,en,transformer not working
"Handpump is broken, villagers are suffering.",Water,Negative,High,Malegaon,2025-05-31,413115,en,handpump broken
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Morgaon,2025-02-22,413304,mr,other_issue
No doctor available at PHC.,Health,Negative,High,Pandare,2024-05-03,413103,en,doctor not available
पाण्याचा टँकर आला नाही 5 दिवसांपासून.,Water,Negative,High,Nimbut,2025-02-09,413110,mr,water tanker not arrived
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Pandare,2024-12-15,413103,mr,health camp needed
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Malegaon,2025-06-29,413115,en,garbage not collected
पाण्याचा टँकर आला नाही 8 दिवसांपासून.,Water,Negative,High,Nimbut,2024-04-22,413110,mr,water tanker not arrived
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Someshwar,2024-07-08,412306,en,garbage not collected
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-02-25,412306,mr,drainage problem
The road from Malegaon to nearby town is full of potholes.,Road,Negative,Low,Pandare,2025-03-05,413103,en,road potholes
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Pandare,2025-01-04,413103,en,drainage problem
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Katphal,2025-01-06,413111,en,garbage not collected
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-10-23,413102,en,playground not maintained
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Malegaon,2025-01-14,413115,mr,other_issue
Frequent power cuts in the evening.,Electricity,Negative,High,Morgaon,2025-06-11,413304,en,frequent power cuts
Road construction is pending for months.,Road,Negative,Low,Supa,2024-03-29,413109,en,road work pending
पाण्याचा टँकर आला नाही 2 दिवसांपासून.,Water,Negative,High,Supa,2024-08-26,413109,mr,water tanker not arrived
Library in village remains closed.,Others,Negative,Low,Katphal,2024-02-01,413111,en,other_issue
Library in village remains closed.,Others,Negative,Low,Baramati,2024-01-21,413102,en,other_issue
Garbage is not collected regularly in Someshwar.,Sanitation,Negative,Medium,Someshwar,2025-08-25,412306,en,garbage not collected
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Katphal,2025-08-21,413111,mr,other_issue
Streetlights are not working at the chowk.,Others,Negative,Low,Baramati,2024-01-24,413102,en,streetlights not working
Road construction is pending for months.,Road,Negative,Low,Baramati,2024-02-13,413102,en,road work pending
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Nimbut,2025-04-06,413110,en,road potholes
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Morgaon,2025-06-25,413304,en,ambulance not arrived
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Nimbut,2025-08-15,413110,mr,drinking water problem
No water supply in the village since 3 days.,Water,Negative,High,Malegaon,2025-03-11,413115,en,no water supply
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2025-01-16,412306,mr,teachers not available
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2025-04-09,412306,mr,drainage problem
No doctor available at PHC.,Health,Negative,Medium,Someshwar,2025-01-19,412306,en,doctor not available
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Nimbut,2024-11-04,413110,en,ambulance not arrived
Emergency ambulance did not arrive on time.,Health,Negative,High,Nimbut,2025-01-19,413110,en,ambulance not arrived
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Pandare,2024-04-21,413103,en,garbage not collected
Library in village remains closed.,Others,Negative,Low,Katphal,2025-05-05,413111,en,other_issue
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Malegaon,2024-11-17,413115,mr,new road required
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Supa,2024-02-20,413109,mr,drainage problem
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2025-08-06,413102,mr,other_issue
Village health worker is absent since 7 days.,Health,Negative,High,Katphal,2025-01-08,413111,en,health worker absent
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-07-10,413111,mr,teachers not available
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Baramati,2025-06-13,413102,mr,electricity supply disrupted
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Morgaon,2025-08-28,413304,en,ambulance not arrived
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2024-07-02,413111,mr,new road required
Road construction is pending for months.,Road,Negative,Low,Katphal,2025-07-02,413111,en,road work pending
Medicines are not available at PHC.,Health,Negative,High,Morgaon,2025-08-14,413304,en,medicines not available
Electric transformer is not working in Morgaon.,Electricity,Negative,High,Pandare,2025-06-28,413103,en,transformer not working
Drinking water tank is empty.,Water,Negative,High,Pandare,2024-10-13,413103,en,water tank empty
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Pandare,2024-01-14,413103,mr,other_issue
No water supply in the village since 8 days.,Water,Negative,High,Morgaon,2024-07-03,413304,en,no water supply
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-10-22,413115,en,streetlights not working
No doctor available at PHC.,Health,Negative,Medium,Supa,2025-02-01,413109,en,doctor not available
Road construction is pending for months.,Road,Negative,Low,Supa,2024-07-27,413109,en,road work pending
Playground is not maintained properly.,Others,Negative,Low,Someshwar,2025-06-07,412306,en,playground not maintained
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Someshwar,2025-06-21,412306,mr,new road required
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2024-02-13,413111,mr,new road required
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Someshwar,2024-11-27,412306,mr,other_issue
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Someshwar,2024-08-01,412306,en,road potholes
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Pandare,2024-10-06,413103,en,transformer not working
Library in village remains closed.,Others,Negative,Low,Malegaon,2024-11-16,413115,en,other_issue
Drinking water tank is empty.,Water,Negative,High,Katphal,2025-06-04,413111,en,water tank empty
No water supply in the village since 3 days.,Water,Negative,High,Baramati,2024-10-15,413102,en,no water supply
Playground is not maintained properly.,Others,Negative,Low,Katphal,2025-05-26,413111,en,playground not maintained
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Supa,2025-03-02,413109,en,road potholes
No electricity for 6 hours continuously.,Electricity,Negative,High,Someshwar,2025-02-08,412306,en,prolonged power cut
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2024-09-18,413304,mr,other_issue
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2024-05-10,413115,en,road potholes
No doctor available at PHC.,Health,Negative,High,Malegaon,2024-10-10,413115,en,doctor not available
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Baramati,2025-03-12,413102,mr,new road required
Village health worker is absent since 7 days.,Health,Negative,Medium,Morgaon,2025-06-15,413304,en,health worker absent
Road construction is pending for months.,Road,Negative,Low,Baramati,2025-09-03,413102,en,road work pending
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2024-09-15,413110,en,playground not maintained
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Someshwar,2024-08-07,412306,mr,other_issue
Streetlights are not working at the chowk.,Others,Negative,Low,Baramati,2025-05-05,413102,en,streetlights not working
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Nimbut,2024-05-21,413110,mr,new road required
पाण्याचा टँकर आला नाही 6 दिवसांपासून.,Water,Negative,High,Supa,2025-04-20,413109,mr,water tanker not arrived
Frequent power cuts in the evening.,Electricity,Negative,High,Someshwar,2025-04-26,412306,en,frequent power cuts
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Someshwar,2024-09-21,412306,mr,electricity supply disrupted
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Baramati,2025-07-21,413102,mr,frequent power cuts
Road construction is pending for months.,Road,Negative,Low,Supa,2025-02-22,413109,en,road work pending
Library in village remains closed.,Others,Negative,Low,Katphal,2024-07-28,413111,en,other_issue
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Baramati,2025-08-06,413102,mr,electricity supply disrupted
Drinking water tank is empty.,Water,Negative,High,Someshwar,2025-09-15,412306,en,water tank empty
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2025-02-01,413111,en,frequent power cuts
No water supply in the village since 10 days.,Water,Negative,High,Someshwar,2024-06-26,412306,en,no water supply
No water supply in the village since 4 days.,Water,Negative,High,Supa,2025-02-12,413109,en,no water supply
Medicines are not available at PHC.,Health,Negative,Medium,Malegaon,2025-01-05,413115,en,medicines not available
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Nimbut,2024-12-19,413110,mr,other_issue
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-03-31,413115,mr,drinking water problem
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Malegaon,2025-06-09,413115,mr,garbage not collected
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Morgaon,2024-06-19,413304,en,transformer not working
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2024-08-17,413111,en,frequent power cuts
Village road is damaged due to rain.,Road,Negative,Low,Morgaon,2025-04-08,413304,en,road potholes
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Baramati,2025-05-09,413102,mr,garbage not collected
Drinking water tank is empty.,Water,Negative,High,Supa,2025-08-09,413109,en,water tank empty
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-07-27,413115,mr,drinking water problem
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Baramati,2025-05-24,413102,mr,new road required
Frequent power cuts in the evening.,Electricity,Negative,High,Someshwar,2025-02-10,412306,en,frequent power cuts
पाण्याचा टँकर आला नाही 1 दिवसांपासून.,Water,Negative,High,Katphal,2024-12-11,413111,mr,water tanker not arrived
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2025-01-29,413111,mr,new road required
Medicines are not available at PHC.,Health,Negative,Medium,Someshwar,2024-01-19,412306,en,medicines not available
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Someshwar,2024-06-05,412306,mr,frequent power cuts
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Supa,2025-05-19,413109,mr,other_issue
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2024-02-01,412306,en,handpump broken
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Supa,2025-03-11,413109,en,garbage not collected
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-06-06,413111,en,streetlights not working
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2025-08-29,413110,en,playground not maintained
Playground is not maintained properly.,Others,Negative,Low,Supa,2025-08-29,413109,en,playground not maintained
Village road is damaged due to rain.,Road,Negative,Low,Pandare,2024-08-24,413103,en,road potholes
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Supa,2025-07-20,413109,mr,frequent power cuts
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2024-12-15,413109,mr,garbage not collected
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Malegaon,2024-11-27,413115,mr,electricity supply disrupted
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Someshwar,2025-01-07,412306,mr,other_issue
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2024-01-20,413103,en,streetlights not working
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Malegaon,2024-07-02,413115,en,ambulance not arrived
पाण्याचा टँकर आला नाही 2 दिवसांपासून.,Water,Negative,High,Supa,2024-11-25,413109,mr,water tanker not arrived
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Nimbut,2024-03-26,413110,en,garbage not collected
Library in village remains closed.,Others,Negative,Low,Katphal,2024-07-26,413111,en,other_issue
Playground is not maintained properly.,Others,Negative,Low,Pandare,2024-09-30,413103,en,playground not maintained
Village health worker is absent since 10 days.,Health,Negative,High,Nimbut,2024-05-02,413110,en,health worker absent
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Baramati,2024-04-21,413102,mr,frequent power cuts
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2024-09-28,413111,en,drainage problem
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Baramati,2024-05-10,413102,mr,other_issue
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2024-12-21,413304,mr,other_issue
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2024-09-27,413111,en,streetlights not working
Playground is not maintained properly.,Others,Negative,Low,Someshwar,2025-06-22,412306,en,playground not maintained
Village health worker is absent since 1 days.,Health,Negative,Medium,Malegaon,2024-05-17,413115,en,health worker absent
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-05-09,413110,en,road potholes
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Pandare,2025-06-16,413103,en,garbage not collected
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-03-16,413115,en,road work pending
Medicines are not available at PHC.,Health,Negative,High,Nimbut,2025-03-23,413110,en,medicines not available
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Nimbut,2024-08-26,413110,mr,frequent power cuts
Streetlights are not working at the chowk.,Others,Negative,Low,Morgaon,2024-01-12,413304,en,streetlights not working
No doctor available at PHC.,Health,Negative,High,Baramati,2025-08-06,413102,en,doctor not available
Drinking water tank is empty.,Water,Negative,High,Someshwar,2024-11-05,412306,en,water tank empty
Electric transformer is not working in Indapur.,Electricity,Negative,High,Morgaon,2025-07-30,413304,en,transformer not working
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2024-10-10,413304,en,garbage not collected
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Katphal,2024-04-19,413111,en,garbage not collected
No doctor available at PHC.,Health,Negative,High,Pandare,2025-07-26,413103,en,doctor not available
No electricity for 8 hours continuously.,Electricity,Negative,High,Nimbut,2025-06-19,413110,en,prolonged power cut
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Pandare,2025-07-14,413103,mr,drainage problem
Playground is not maintained properly.,Others,Negative,Low,Pandare,2025-05-08,413103,en,playground not maintained
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Malegaon,2024-12-02,413115,mr,frequent power cuts
पाण्याचा टँकर आला नाही 6 दिवसांपासून.,Water,Negative,High,Nimbut,2025-08-28,413110,mr,water tanker not arrived
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Baramati,2024-03-07,413102,en,road potholes
No electricity for 8 hours continuously.,Electricity,Negative,High,Pandare,2025-02-10,413103,en,prolonged power cut
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2025-08-30,413111,mr,teachers not available
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-07-07,413115,en,road work pending
Playground is not maintained properly.,Others,Negative,Low,Supa,2024-10-24,413109,en,playground not maintained
Streetlights are not working at the chowk.,Others,Negative,Low,Someshwar,2025-03-04,412306,en,streetlights not working
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Nimbut,2025-02-03,413110,en,garbage not collected
No water supply in the village since 6 days.,Water,Negative,High,Pandare,2024-07-17,413103,en,no water supply
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2024-06-21,413115,mr,teachers not available
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Someshwar,2024-11-27,412306,mr,water tanker not arrived
No electricity for 2 hours continuously.,Electricity,Negative,High,Baramati,2025-05-31,413102,en,prolonged power cut
"Handpump is broken, villagers are suffering.",Water,Negative,High,Katphal,2024-10-28,413111,en,handpump broken
Electric transformer is not working in Jejuri.,Electricity,Negative,High,Baramati,2025-02-17,413102,en,transformer not working
Electric transformer is not working in Baramati.,Electricity,Negative,High,Baramati,2024-04-19,413102,en,transformer not working
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-08-08,413111,en,streetlights not working
Medicines are not available at PHC.,Health,Negative,High,Pandare,2024-01-29,413103,en,medicines not available
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-07-09,413115,mr,drainage problem
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-08-07,412306,mr,drainage problem
Garbage is not collected regularly in Baramati.,Sanitation,Negative,Medium,Someshwar,2024-09-22,412306,en,garbage not collected
No doctor available at PHC.,Health,Negative,High,Supa,2025-07-12,413109,en,doctor not available
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Baramati,2024-08-11,413102,mr,garbage not collected
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2024-05-14,413115,mr,teachers not available
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Katphal,2025-02-13,413111,mr,other_issue
पाण्याचा टँकर आला नाही 8 दिवसांपासून.,Water,Negative,High,Morgaon,2024-07-21,413304,mr,water tanker not arrived
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Baramati,2024-03-10,413102,mr,teachers not available
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Baramati,2024-03-06,413102,en,drainage problem
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Malegaon,2025-08-03,413115,en,ambulance not arrived
Frequent power cuts in the evening.,Electricity,Negative,High,Nimbut,2024-06-17,413110,en,frequent power cuts
Village health worker is absent since 4 days.,Health,Negative,High,Morgaon,2024-04-10,413304,en,health worker absent
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-02-18,413115,mr,drinking water problem
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Pandare,2024-11-21,413103,en,garbage not collected
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Malegaon,2024-05-27,413115,mr,other_issue
Streetlights are not working at the chowk.,Others,Negative,Low,Nimbut,2024-12-11,413110,en,streetlights not working
Village health worker is absent since 10 days.,Health,Negative,Medium,Nimbut,2024-08-18,413110,en,health worker absent
No water supply in the village since 10 days.,Water,Negative,High,Nimbut,2024-08-15,413110,en,no water supply
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2024-10-10,412306,en,handpump broken
Medicines are not available at PHC.,Health,Negative,High,Supa,2024-11-19,413109,en,medicines not available
Medicines are not available at PHC.,Health,Negative,High,Morgaon,2024-11-16,413304,en,medicines not available
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-06-02,412306,mr,drainage problem
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Morgaon,2025-04-24,413304,mr,other_issue
Emergency ambulance did not arrive on time.,Health,Negative,High,Supa,2025-03-04,413109,en,ambulance not arrived
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2025-08-12,413102,en,road potholes
Library in village remains closed.,Others,Negative,Low,Nimbut,2025-07-22,413110,en,other_issue
Electric transformer is not working in Baramati.,Electricity,Negative,High,Katphal,2024-12-09,413111,en,transformer not working
Medicines are not available at PHC.,Health,Negative,High,Supa,2024-10-09,413109,en,medicines not available
पाण्याचा टँकर आला नाही 8 दिवसांपासून.,Water,Negative,High,Pandare,2025-06-16,413103,mr,water tanker not arrived
"Handpump is broken, villagers are suffering.",Water,Negative,High,Malegaon,2024-10-27,413115,en,handpump broken
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2025-03-27,413115,en,streetlights not working
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Pandare,2024-01-20,413103,mr,teachers not available
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Morgaon,2024-01-30,413304,en,ambulance not arrived
पाण्याचा टँकर आला नाही 5 दिवसांपासून.,Water,Negative,High,Supa,2024-09-21,413109,mr,water tanker not arrived
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Baramati,2025-08-08,413102,mr,health camp needed
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Supa,2024-06-16,413109,mr,water tanker not arrived
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Katphal,2024-11-16,413111,mr,drinking water problem
Streetlights are not working at the chowk.,Others,Negative,Low,Supa,2025-01-24,413109,en,streetlights not working
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Baramati,2025-06-26,413102,en,road potholes
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2024-02-03,413115,en,road potholes
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Morgaon,2024-12-29,413304,mr,electricity supply disrupted
पाण्याचा टँकर आला नाही 7 दिवसांपासून.,Water,Negative,High,Pandare,2025-02-06,413103,mr,water tanker not arrived
Library in village remains closed.,Others,Negative,Low,Baramati,2024-06-01,413102,en,other_issue
No doctor available at PHC.,Health,Negative,Medium,Morgaon,2024-03-06,413304,en,doctor not available
No electricity for 2 hours continuously.,Electricity,Negative,High,Katphal,2025-02-26,413111,en,prolonged power cut
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Malegaon,2025-08-04,413115,en,garbage not collected
No doctor available at PHC.,Health,Negative,Medium,Someshwar,2025-02-20,412306,en,doctor not available
Drinking water tank is empty.,Water,Negative,High,Supa,2024-04-10,413109,en,water tank empty
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Nimbut,2024-05-09,413110,mr,other_issue
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Morgaon,2025-04-11,413304,mr,frequent power cuts
Road construction is pending for months.,Road,Negative,Low,Baramati,2024-05-25,413102,en,road work pending
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2024-12-12,413110,en,playground not maintained
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Katphal,2025-01-02,413111,en,road potholes
"Handpump is broken, villagers are suffering.",Water,Negative,High,Malegaon,2024-08-23,413115,en,handpump broken
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2025-03-31,413111,en,road potholes
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Someshwar,2025-01-18,412306,mr,electricity supply disrupted
